,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.10402391149549164,0.001368227265261684,76.02824043679342,0.0,0.10134213641705546,0.10670568657392783
C(type)[T.vice minister],0.013717754248202532,0.0021247870581946843,6.456060712200384,1.0896251137465389e-10,0.009553094528049665,0.0178824139683554
C(ministry)[T.DEF],0.09831566289546671,0.002946737634368406,33.36424042262567,4.7062515331168095e-240,0.09253995022610415,0.10409137556482928
C(ministry)[T.EDU],0.00839044760880075,0.0019276487537676229,4.3526848926192985,1.3488669214273291e-05,0.004612186117392832,0.012168709100208668
C(ministry)[T.GEF],0.11590739401202241,0.0022826619138554454,50.77729352230411,0.0,0.11143329384716259,0.12038149417688222
C(ministry)[T.HSW],0.09638289278394473,0.0019208425238678765,50.177404751465374,0.0,0.09261797175006654,0.10014781381782291
C(ministry)[T.MEF],0.005021461464976172,0.002258057196813879,2.223797285587566,0.026168866238547465,0.0005955874381632659,0.009447335491789078
