group,type,coef,se,ci_low,ci_high,p_value
High-Prestige,minister,0.139866425033282,0.0019340770231832726,0.13607570372451636,0.14365714634204765,0.0
High-Prestige,vice minister,0.14268168562559294,0.0021965013172191754,0.13837662215184857,0.14698674909933732,0.0
Low-Profile,minister,0.14531949001609928,0.0012379146955343921,0.14289322179691902,0.14774575823527955,0.0
Low-Profile,vice minister,0.15578459586447782,0.005204383378391677,0.14558419188109123,0.1659849998478644,7.248949685031387e-197
Political-Leverage,minister,0.15742577497958737,0.0010581519653420984,0.15535183523734658,0.15949971472182817,0.0
Political-Leverage,vice minister,0.15441522864857687,0.0047695011434549135,0.14506717818318263,0.16376327911397112,6.063369940194039e-230
