,sum_sq,df,F,PR(>F)
C(type),0.5577468129095718,1.0,41.86391528500139,9.922887288754587e-11
C(ministry),76.28727477495241,5.0,1145.2092363708502,0.0
C(type):C(ministry),1.988152074541349,5.0,29.845739355499745,2.2922465071280724e-30
Residual,437.12282539706183,32810.0,,
