group,contrast,difference,se,ci_low,ci_high,t,p_value,p_holm
AFF,minister - vice minister,-0.009918458176564518,0.003948973343460824,-0.01765858923980988,-0.002178327113319157,-2.511654881891941,0.012016654211139118,0.03604996263341735
DEF,minister - vice minister,0.004226375612734284,0.006692586762622278,-0.008891337319062645,0.017344088544531212,0.631501056712235,0.5277129585162355,0.5277129585162355
EDU,minister - vice minister,0.03200136550159549,0.004989766422670603,0.022221242232238567,0.04178148877095242,6.413399504273357,1.4230993938349946e-10,5.692397575339978e-10
GEF,minister - vice minister,-0.10710031577206838,0.014543812656212856,-0.135606716379908,-0.07859391516422874,-7.363977954317024,1.7850918794537027e-13,8.925459397268513e-13
HSW,minister - vice minister,-0.00845741910555417,0.006353128352887624,-0.02090978123516908,0.00399494302406074,-1.3312211930536717,0.18311623998372362,0.36623247996744723
MEF,minister - vice minister,-0.022234721498982257,0.0029975131031675247,-0.02810995596232224,-0.016359487035642273,-7.417722870164083,1.1915108324839974e-13,7.149064994903984e-13
