group,contrast,difference,se,ci_low,ci_high,t,p_value,p_holm
High-Prestige,minister - vice minister,-0.0028152605923109364,0.002926648589795338,-0.008551597999043183,0.00292107681442131,-0.9619400846849907,0.336079701601123,0.672159403202246
Political-Leverage,minister - vice minister,0.0030105463310104996,0.004885470984375516,-0.006565154029769087,0.012586246691790086,0.6162243805435929,0.5377464394497949,0.672159403202246
Low-Profile,minister - vice minister,-0.010465105848378536,0.005349583081203578,-0.02095048275564706,2.0271058889988897e-05,-1.956246998976234,0.05043606442968131,0.15130819328904394
