,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.15036555358843448,0.0007417281575321239,202.7232646644161,0.0,0.14891173949835657,0.1518193676785124
C(type)[T.vice minister],-0.0037370927338395434,0.002054503552239237,-1.8189760391343324,0.06892419416718897,-0.007763994209844463,0.0002898087421653755
